,Student_ID,Age,Gender,Academic_Level,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
0,1,19,1,1,5.2,Instagram,1,6.5,6,In Relationship,3,8
1,2,22,0,2,2.1,Twitter,0,7.5,8,Single,0,3
2,3,20,1,1,6.0,TikTok,1,5.0,5,Complicated,4,9
3,4,18,0,0,3.0,YouTube,0,7.0,7,Single,1,4
4,5,21,0,2,4.5,Facebook,1,6.0,6,In Relationship,2,7
5,6,19,1,1,7.2,Instagram,1,4.5,4,Complicated,5,9
6,7,23,0,2,1.5,LinkedIn,0,8.0,9,Single,0,2
7,8,20,1,1,5.8,Snapchat,1,6.0,6,In Relationship,2,8
8,9,18,0,0,4.0,TikTok,0,6.5,7,Single,1,5
9,10,21,1,2,3.3,Instagram,0,7.0,7,In Relationship,1,4
10,11,19,0,1,4.8,Snapchat,1,6.2,5,Complicated,3,7
11,12,20,1,1,5.5,TikTok,1,5.8,6,In Relationship,2,8
12,13,22,0,2,2.8,LinkedIn,0,7.2,8,Single,1,4
13,14,18,1,0,6.5,Instagram,1,5.5,5,Single,4,9
14,15,21,0,1,3.7,YouTube,0,6.8,7,In Relationship,2,5
15,16,20,1,1,4.2,TikTok,1,6.0,6,Complicated,3,7
16,17,24,0,2,2.0,LinkedIn,0,7.8,8,Single,0,3
17,18,19,1,0,5.0,Instagram,1,5.7,5,In Relationship,3,8
18,19,21,0,1,3.5,Facebook,0,6.7,7,Single,1,5
19,20,20,1,1,4.7,Snapchat,1,5.9,6,Complicated,3,7
20,21,18,0,0,5.3,TikTok,1,5.5,5,Single,4,8
21,22,23,1,2,2.5,LinkedIn,0,7.3,8,In Relationship,1,4
22,23,19,0,1,4.9,Instagram,1,5.8,6,Complicated,3,7
23,24,20,1,1,5.7,TikTok,1,5.4,5,Single,4,8
24,25,22,0,2,3.2,Facebook,0,6.9,7,In Relationship,2,5
25,26,19,1,0,6.1,Instagram,1,5.2,5,Complicated,4,9
26,27,21,0,1,3.8,YouTube,0,6.6,7,Single,1,5
27,28,20,1,1,4.4,TikTok,1,5.9,6,In Relationship,3,7
28,29,24,0,2,2.2,LinkedIn,0,7.4,8,Single,0,3
29,30,19,1,0,5.9,Instagram,1,5.3,5,Complicated,4,8
30,31,21,0,1,3.6,Facebook,0,6.7,7,Single,1,5
31,32,20,1,1,4.8,Snapchat,1,5.7,6,In Relationship,3,7
32,33,18,0,0,5.4,TikTok,1,5.4,5,Complicated,4,8
33,34,23,1,2,2.6,LinkedIn,0,7.2,8,Single,1,4
34,35,19,0,1,4.7,Instagram,1,5.8,6,In Relationship,3,7
35,36,20,1,1,5.6,TikTok,1,5.5,5,Complicated,4,8
36,37,22,0,2,3.1,Facebook,0,6.8,7,Single,1,5
37,38,19,1,0,6.2,Instagram,1,5.1,5,In Relationship,4,9
38,39,21,0,1,3.9,YouTube,0,6.5,7,Complicated,2,6
39,40,20,1,1,4.5,TikTok,1,5.8,6,Single,3,7
40,41,24,0,2,2.3,LinkedIn,0,7.3,8,In Relationship,1,4
41,42,19,1,0,5.8,Instagram,1,5.4,5,Complicated,4,8
42,43,21,0,1,3.7,Facebook,0,6.6,7,Single,2,5
43,44,20,1,1,4.6,Snapchat,1,5.7,6,In Relationship,3,7
44,45,18,0,0,5.5,TikTok,1,5.3,5,Single,4,8
45,46,23,1,2,2.7,LinkedIn,0,7.1,8,Complicated,1,4
46,47,19,0,1,4.8,Instagram,1,5.9,6,In Relationship,3,7
47,48,20,1,1,5.5,TikTok,1,5.6,5,Single,4,8
48,49,22,0,2,3.3,Facebook,0,6.7,7,In Relationship,2,5
49,50,19,1,0,6.3,Instagram,1,5.2,5,Complicated,4,9
50,51,21,0,1,3.8,YouTube,0,6.4,7,Single,2,6
51,52,20,1,1,4.7,TikTok,1,5.8,6,In Relationship,3,7
52,53,24,0,2,2.4,LinkedIn,0,7.2,8,Complicated,1,4
53,54,19,1,0,5.7,Instagram,1,5.5,5,Single,4,8
54,55,21,0,1,3.6,Facebook,0,6.5,7,In Relationship,2,5
55,56,20,1,1,4.9,Snapchat,1,5.6,6,Complicated,3,7
56,57,18,0,0,5.6,TikTok,1,5.2,5,Single,4,8
57,58,23,1,2,2.8,LinkedIn,0,7.0,8,In Relationship,1,4
58,59,19,0,1,4.6,Instagram,1,5.9,6,Complicated,3,7
59,60,20,1,1,5.4,TikTok,1,5.7,5,Single,4,8
60,61,22,0,2,3.1,Facebook,0,7.1,7,Single,1,5
61,62,19,1,1,5.6,Instagram,1,5.6,5,In Relationship,3,8
62,63,20,0,1,4.2,TikTok,1,6.0,6,Complicated,3,7
63,64,18,1,0,6.1,Snapchat,1,5.2,4,Single,4,9
64,65,23,0,2,2.3,LinkedIn,0,7.4,8,In Relationship,1,3
65,66,21,1,1,4.8,Instagram,1,5.8,6,Single,3,7
66,67,20,0,1,3.9,YouTube,0,6.5,7,Complicated,2,6
67,68,19,1,0,5.7,TikTok,1,5.4,5,In Relationship,4,8
68,69,22,0,2,2.8,LinkedIn,0,7.2,8,Single,1,4
69,70,20,1,1,4.5,Instagram,1,5.9,6,Complicated,3,7
70,71,18,0,0,5.4,Snapchat,1,5.5,5,Single,4,8
71,72,21,1,2,3.2,Facebook,0,6.8,7,In Relationship,2,5
